LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,FINAL_X,FINAL_Y,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
,Inactive,CG ALM LLC,L & W OYSTER CO,254,5TH AVE,NEW YORK,NY,10001,Unenclosed,109,2,12,41698063,987770,210715,105,4,http://www.cb5.org,11740-2017-ASWC,Unenclosed,109,2,12,Pending Review,16 Aug 2017,,,16 Aug 2017,Ready For Review,16 Aug 2017,Review Completed,21 Nov 2017,Pending Review,16 Aug 2017,Review Period Expired,06 Oct 2017,Recommendation Issued,16 Nov 2017,SWC Public Hearing,04 Oct 2017,Filed Recommendation,21 Nov 2017,Pending Review,,Pending Review,
,Inactive,FRANCISCO & FRANCISCO INC,POP AND POUR,200,DYCKMAN ST,NEW YORK,NY,10040,Unenclosed,NULL,12,24,50056063,1004434,254348,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,9691-2017-ASWC,Unenclosed,NULL,12,24,Pending Review,06 Jul 2017,,,05 Jul 2017,Ready For Review,05 Jul 2017,Review Completed,08 Sep 2017,Pending Review,06 Jul 2017,Review Period Expired,26 Aug 2017,Recommendation Issued,30 Aug 2017,SWC Public Hearing,23 Aug 2017,Filed Recommendation,08 Sep 2017,Pending Review,,Pending Review,
,Inactive,"FUSION EAST, LLC",NULL,1165,ELTON ST,BROOKLYN,NY,11239,Unenclosed,NULL,14,28,NULL,1019431,178352,305,42,http://www.nyc.gov/html/cau/html/cb/cb.shtml,11303-2017-ASWC,Unenclosed,NULL,14,28,Pending Review,07 Aug 2017,,,07 Aug 2017,Ready For Review,07 Aug 2017,Review Completed,21 Nov 2017,Pending Review,07 Aug 2017,Review Period Expired,27 Sep 2017,Recommendation Issued,16 Nov 2017,SWC Public Hearing,27 Sep 2017,Filed Recommendation,21 Nov 2017,Pending Review,,Pending Review,
,Inactive,GINO SORBILLO LLC,GINO SORBILLO,334,BOWERY,NEW YORK,NY,10012,Unenclosed,NULL,8,16,50066100,986428,203799,102,1,http://www.nyc.gov/manhattancb2,15793-2017-ASWC,Unenclosed,NULL,8,16,Pending Review,14 Nov 2017,,,02 Nov 2017,Ready For Review,02 Nov 2017,Under Review,14 Nov 2017,Pending Review,14 Nov 2017,Pending Review,14 Nov 2017,Pending Review,,SWC Public Hearing,03 Jan 2018,Pending Review,,Pending Review,,Pending Review,
,Inactive,HUDSON HEIGHTS BAR & GRILL CORP,BAR 180,701,W 180TH ST,NEW YORK,NY,10033,Unenclosed,308,15,31,50056065,1001767,248896,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,3011-2017-ASWC,Unenclosed,302,15,31,Pending Review,27 Mar 2017,,,09 Mar 2017,Ready For Review,27 Mar 2017,Review Completed,27 Mar 2017,Pending Review,27 Mar 2017,Recommend Denial,08 Nov 2017,Recommendation Issued,08 Nov 2017,SWC Public Hearing,17 May 2017,Review Period Expired,08 Nov 2017,Pending Review,03 Aug 2017,Pending Review,
,Inactive,ICELANDIC FISH & CHIPS US LLC,ICELANDIC FISH & CHIPS,28,7TH AVE S,NEW YORK,NY,10014,Unenclosed,NULL,7,14,NULL,982935,205419,102,3,http://www.nyc.gov/manhattancb2,15456-2017-ASWC,Unenclosed,NULL,7,14,Pending Review,30 Oct 2017,,,30 Oct 2017,Ready For Review,30 Oct 2017,Under Review,30 Oct 2017,Pending Review,30 Oct 2017,Pending Review,30 Oct 2017,Pending Review,,SWC Public Hearing,13 Dec 2017,Pending Review,,Pending Review,,Pending Review,
,Inactive,"Kio Restaurant, LLC.",Khe-Yo,157,DUANE ST,NEW YORK,NY,10013,Small Unenclosed,110,6,12,50001638,981848,200463,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,6986-2016-ASWC,Small Unenclosed,110,6,12,Pending Review,03 Mar 2017,,,25 May 2016,Ready For Review,13 Jun 2016,Review Completed,03 Mar 2017,Pending Review,03 Mar 2017,Review Period Expired,23 Apr 2017,Recommendation Issued,06 Oct 2017,SWC Public Hearing,19 Apr 2017,Review Period Expired,27 Oct 2017,Pending Review,27 Oct 2017,Pending Review,
,Inactive,La Luna Deli &Cafe Inc.,NULL,4401,30TH AVE,ASTORIA,NY,11103,Unenclosed,NULL,7,26,NULL,1008742,217073,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,6750-2017-ASWC,Unenclosed,NULL,7,26,Pending Review,19 Jun 2017,,,10 May 2017,Ready For Review,19 Jun 2017,Review Completed,06 Nov 2017,Pending Review,19 Jun 2017,Recommend Approval,07 Aug 2017,Recommendation Issued,10 Aug 2017,SWC Public Hearing,09 Aug 2017,Filed Recommendation,06 Nov 2017,Pending Review,,Pending Review,
,Inactive,MAIDENEIRE LLC,The Malt House,11,MAIDEN LN,NEW YORK,NY,10038,Unenclosed,NULL,4,8,50036043,981651,197824,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,9462-2017-ASWC,Unenclosed,NULL,4,8,Pending Review,30 Jun 2017,,,29 Jun 2017,Ready For Review,29 Jun 2017,Review Completed,24 Oct 2017,Pending Review,29 Jun 2017,Review Period Expired,20 Aug 2017,Recommendation Issued,24 Aug 2017,SWC Public Hearing,16 Aug 2017,Filed Recommendation,24 Oct 2017,Pending Review,,Pending Review,
,Inactive,"MALABAR KITCHEN, LLC",ALTA CALIDAD,552,VANDERBILT AVE,BROOKLYN,NY,11238,Unenclosed,NULL,9,19,50060021,993083,187070,308,35,http://www.brooklyncb8.org/,14181-2017-ASWC,Unenclosed,NULL,9,19,Pending Review,12 Oct 2017,,,11 Oct 2017,Ready For Review,11 Oct 2017,Under Review,12 Oct 2017,Pending Review,12 Oct 2017,Review Period Expired,02 Dec 2017,Pending Review,02 Dec 2017,SWC Public Hearing,29 Nov 2017,Pending Review,,Pending Review,,Pending Review,
,Inactive,MELANIE'S ROTI & GRILL RESTAURANT INC.,NULL,1248,CASTLE HILL AVE,BRONX,NY,10462,Unenclosed,NULL,5,10,41389468,1025428,242905,209,18,http://www.nyc.gov/html/bxcb9/html/home/home.shtml,8977-2017-ASWC,Unenclosed,NULL,5,10,Pending Review,20 Jun 2017,,,20 Jun 2017,Ready For Review,20 Jun 2017,Review Completed,25 Aug 2017,Pending Review,20 Jun 2017,Review Period Expired,10 Aug 2017,Recommendation Issued,17 Aug 2017,SWC Public Hearing,09 Aug 2017,Filed Recommendation,25 Aug 2017,Pending Review,,Pending Review,
,Inactive,"MI GENTE CAFE, INC",EVO COCKTAIL LOUNGE & RESTAURANT,1306,UNIONPORT RD,BRONX,NY,10462,Unenclosed,NULL,6,12,40969600,1024751,243338,209,18,http://www.nyc.gov/html/bxcb9/html/home/home.shtml,4061-2017-ASWC,Unenclosed,NULL,6,12,Pending Review,31 Mar 2017,,,29 Mar 2017,Ready For Review,29 Mar 2017,Review Completed,31 Mar 2017,Pending Review,29 Mar 2017,Review Period Expired,21 May 2017,Recommendation Issued,19 Jun 2017,SWC Public Hearing,17 May 2017,Review Period Expired,03 Aug 2017,Pending Review,03 Aug 2017,Pending Review,
,Inactive,oishi village sushi,oishi village sushi,199,2ND AVE,NEW YORK,NY,10003,Small Unenclosed,NULL,5,10,NULL,988168,205760,103,2,http://www.nyc.gov/manhattancb3,28133-2016-ASWC,Small Unenclosed,45,2,6,Pending Review,28 Apr 2017,,,06 Dec 2016,Ready For Review,07 Dec 2016,Review Completed,08 Sep 2017,Pending Review,28 Apr 2017,Review Period Expired,18 Jun 2017,Recommendation Issued,17 Aug 2017,SWC Public Hearing,14 Jun 2017,Filed Recommendation,08 Sep 2017,Pending Review,,Pending Review,
,Inactive,OSTERIA POSITANO LLC,POSITANO,10018,4TH AVE,BROOKLYN,NY,11209,Unenclosed,NULL,22,44,50042362,974788,162478,310,43,http://www.bkcb10.org/,15436-2017-ASWC,Unenclosed,NULL,22,44,Pending Review,30 Oct 2017,,,30 Oct 2017,Ready For Review,30 Oct 2017,Under Review,30 Oct 2017,Pending Review,30 Oct 2017,Pending Review,30 Oct 2017,Pending Review,,SWC Public Hearing,13 Dec 2017,Pending Review,,Pending Review,,Pending Review,
,Inactive,PHILLIES PIZZERIA II INC.,Phillies Pizzeria Restaurant,7402,ELIOT AVE,MIDDLE VILLAGE,NY,11379,Enclosed,350,16,33,40783748,1016010,202315,405,30,http://www.nyc.gov/html/qnscb5/html/home/home.shtml,13756-2017-ASWC,Enclosed,350,16,33,Pending Review,12 Oct 2017,,,03 Oct 2017,Ready For Review,04 Oct 2017,Under Review,12 Oct 2017,Pending Review,12 Oct 2017,Pending Review,12 Oct 2017,Pending Review,,NULL,,Pending Review,,Pending Review,,Pending Review,
,Inactive,PRET A MANGER (USA) LIMITED,PRET A MANGER (USA) LIMITED,1756,BROADWAY,NEW YORK,NY,10019,Small Unenclosed,NULL,9,18,50066976,989318,218160,105,4,http://www.cb5.org,15787-2017-ASWC,Small Unenclosed,NULL,9,18,Pending Review,03 Nov 2017,,,02 Nov 2017,Ready For Review,02 Nov 2017,Under Review,03 Nov 2017,Pending Review,03 Nov 2017,Pending Review,03 Nov 2017,Pending Review,,SWC Public Hearing,20 Dec 2017,Pending Review,,Pending Review,,Pending Review,
,Inactive,R G BAR G LLC,DARLINGS,242,HIMROD ST,BROOKLYN,NY,11237,Small Unenclosed,NULL,5,15,50050931,1006492,194373,304,37,http://www.nyc.gov/brooklyncb4,13559-2017-ASWC,Small Unenclosed,NULL,5,15,Pending Review,27 Sep 2017,,,27 Sep 2017,Ready For Review,27 Sep 2017,Review Completed,27 Sep 2017,Pending Review,27 Sep 2017,Review Period Expired,17 Nov 2017,Recommendation Issued,12 Dec 2017,SWC Public Hearing,15 Nov 2017,Pending Review,12 Dec 2017,Pending Review,,Pending Review,
,Inactive,"SAL'S FAMILY PIZZA, INC",SAL'S PIZZA,384,BROOME ST,NEW YORK,NY,10013,Unenclosed,98,6,12,41626598,985214,201809,102,1,http://www.nyc.gov/manhattancb2,10434-2017-ASWC,Unenclosed,98,6,12,Pending Review,21 Jul 2017,,,20 Jul 2017,Ready For Review,20 Jul 2017,Review Completed,21 Jul 2017,Pending Review,21 Jul 2017,Review Period Expired,10 Sep 2017,Recommendation Issued,06 Oct 2017,SWC Public Hearing,06 Sep 2017,Review Period Expired,27 Oct 2017,Pending Review,27 Oct 2017,Pending Review,
,Inactive,Sami and Susu Food Inc.,MIRIAM ,79,5TH AVE,BROOKLYN,NY,11217,Unenclosed,384,12,36,41163474,990422,187063,306,39,http://www.brooklyncb6.org/,11147-2017-ASWC,Unenclosed,384,12,36,Pending Review,03 Aug 2017,,,03 Aug 2017,Ready For Review,03 Aug 2017,Review Completed,24 Oct 2017,Pending Review,03 Aug 2017,Review Period Expired,23 Sep 2017,Recommendation Issued,18 Oct 2017,SWC Public Hearing,20 Sep 2017,Filed Recommendation,24 Oct 2017,Pending Review,,Pending Review,
,Inactive,SERAFINA 2735 CORP,NULL,2737,BROADWAY,NEW YORK,NY,10025,Unenclosed,NULL,33,69,50068505,993050,230915,107,6,http://www.nyc.gov/mcb7,15452-2017-ASWC,Unenclosed,NULL,33,69,Pending Review,30 Oct 2017,,,30 Oct 2017,Ready For Review,30 Oct 2017,Under Review,30 Oct 2017,Pending Review,30 Oct 2017,Pending Review,30 Oct 2017,Pending Review,,SWC Public Hearing,13 Dec 2017,Pending Review,,Pending Review,,Pending Review,
,Inactive,SWEET CHICK FLATBUSH LLC,SWEET CHICK ,636,CARLTON AVE,BROOKLYN,NY,11238,Unenclosed,NULL,14,34,NULL,991907,186163,308,35,http://www.brooklyncb8.org/,10860-2017-ASWC,Unenclosed,NULL,14,34,Pending Review,31 Jul 2017,,,28 Jul 2017,Ready For Review,31 Jul 2017,Review Completed,24 Oct 2017,Pending Review,31 Jul 2017,Review Period Expired,20 Sep 2017,Recommendation Issued,18 Oct 2017,SWC Public Hearing,20 Sep 2017,Filed Recommendation,24 Oct 2017,Pending Review,,Pending Review,
,Inactive,TUFINO PIZZERIA NAPOLETANA INC,NULL,3608,DITMARS BLVD,ASTORIA,NY,11105,Unenclosed,NULL,2,16,41696092,1009706,221274,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,7680-2017-ASWC,Unenclosed,NULL,2,16,Pending Review,06 Jun 2017,,,30 May 2017,Ready For Review,30 May 2017,Review Completed,25 Aug 2017,Pending Review,31 May 2017,Review Period Expired,21 Jul 2017,Recommendation Issued,23 Aug 2017,SWC Public Hearing,19 Jul 2017,Filed Recommendation,25 Aug 2017,Pending Review,,Pending Review,
,Inactive,WEST 4TH & BARROW LLC,NULL,190,W 4TH ST,NEW YORK,NY,10014,Unenclosed,NULL,8,18,50057059,983654,206184,102,3,http://www.nyc.gov/manhattancb2,19274-2017-ASWC,Unenclosed,NULL,8,18,Pending Review,08 Dec 2017,,,07 Dec 2017,Ready For Review,07 Dec 2017,Under Review,08 Dec 2017,Pending Review,07 Dec 2017,Pending Review,08 Dec 2017,Pending Review,,SWC Public Hearing,24 Jan 2018,Pending Review,,Pending Review,,Pending Review,
,Inactive,West D & P LLC,GINA,2028-2032,BROADWAY,NEW YORK,NY,10023,Unenclosed,NULL,6,26,NULL,989267,222240,107,6,http://www.nyc.gov/mcb7,10928-2017-ASWC,Unenclosed,NULL,6,26,Pending Review,07 Aug 2017,,,06 Sep 2017,Ready For Review,31 Jul 2017,Review Completed,31 Jul 2017,Pending Review,31 Jul 2017,Review Period Expired,18 Sep 2017,Recommendation Issued,18 Sep 2017,SWC Public Hearing,20 Sep 2017,Review Period Expired,09 Oct 2017,Pending Review,09 Oct 2017,Pending Review,
0293907-DCA,Active,"DMF GRAMERCY ENTERPRISES, INC.",PETE'S TAVERN S/C #111,129,E 18TH ST,NEW YORK,NY,10003,Unenclosed,611,16,54,40369810,987951,207583,106,2,http://cbsix.org,15208-2017-RSWC,Unenclosed,611,16,54,Application Review Completed,05 May 2017,15 Apr 2019,,03 Apr 2017,Ready For Review,03 Apr 2017,Approved,,Proceed,05 May 2017,Review Period Expired,05 May 2017,Waived,05 May 2017,NULL,,Approved,05 May 2017,Approved,05 May 2017,Issued,05 May 2017
0571720-DCA,Active,1616 SECOND AVENUE RESTAURANT INC.,DORRIAN'S RED HAND ,1616,2ND AVE,NEW YORK,NY,10028,Enclosed,435,15,34,40365239,997368,222117,108,5,http://www.cb8m.com/,26438-2017-RSWC,Enclosed,435,15,34,Application Review Completed,27 Sep 2017,15 May 2019,,12 Sep 2017,Ready For Review,12 Sep 2017,Approved,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,Issued,27 Sep 2017
0623018-DCA,Active,P.J. COFFEE SHOP INC.,CLARKS RESTAURANT,80,CLARK ST,BROOKLYN,NY,11201,Enclosed,479,18,40,40381551,986102,193346,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,8493-2016-RSWC,Enclosed,479,18,40,Application Review Completed,31 May 2017,15 May 2018,,23 May 2016,Ready For Review,23 May 2016,Approved,,Proceed,23 May 2016,Recommend Approval,23 May 2016,Waived,23 May 2016,NULL,,Approved,23 May 2016,Approved,23 May 2016,Issued,23 May 2016
0629616-DCA,Inactive,ZONOR REST CORP.,RIVIERA CAFE,225,W 4TH ST,NEW YORK,NY,10014,Enclosed,366,17,36,NULL,983477,206738,102,3,http://www.nyc.gov/manhattancb2,7951-2016-RSWC,Enclosed,366,17,36,Application Review Completed,01 Jun 2017,15 May 2018,,09 May 2016,Ready For Review,09 May 2016,Approved,,Proceed,09 May 2016,Recommend Approval,09 May 2016,Waived,09 May 2016,NULL,,Approved,09 May 2016,Approved,09 May 2016,Issued,09 May 2016
0670525-DCA,Active,"CALIENTE CAB REST. CO., INC.",CALIENTE CAB CO,61,7TH AVE S,NEW YORK,NY,10014,Unenclosed,752,42,84,40544958,983213,205906,102,3,http://www.nyc.gov/manhattancb2,15275-2017-RSWC,Unenclosed,752,42,84,Application Review Completed,06 Apr 2017,15 Apr 2019,,03 Apr 2017,Ready For Review,03 Apr 2017,Approved,,Proceed,06 Apr 2017,Review Period Expired,06 Apr 2017,Waived,06 Apr 2017,NULL,,Approved,06 Apr 2017,Approved,06 Apr 2017,Issued,06 Apr 2017
0693313-DCA,Inactive,SANGE REST. INC.,TIO PEPE S/C #215,168,W 4TH ST,NEW YORK,NY,10014,Enclosed,129,8,16,40366473,983822,205967,102,3,http://www.nyc.gov/manhattancb2,117-2013-RSWC,Enclosed,129,8,16,Application Review Completed,12 Jun 2015,15 May 2017,15 Jun 2015,13 May 2015,NULL,,Approved,,Proceed,17 Feb 2015,Recommend Approval,23 Mar 2015,Recommendation Issued,02 Apr 2015,SWC Public Hearing,,Approved,29 May 2015,Approved,29 May 2015,Issued,12 Jun 2015
0697987-DCA,Active,MIMI'S RESTAURANT CORP.,E/S/C #255,984,2ND AVE,NEW YORK,NY,10022,Enclosed,429,12,42,40367728,993281,214749,106,4,http://cbsix.org,20856-2017-RSWC,Enclosed,429,12,42,Pending Review,30 Jun 2017,01 Dec 2017,01 Dec 2017,30 Jun 2017,Ready For Review,30 Jun 2017,Under Review,30 Jun 2017,Pending Review,30 Jun 2017,Pending Review,30 Jun 2017,Pending Review,,NULL,,Pending Review,,Pending Review,,Pending Review,
0698346-DCA,Active,ROLL-N-ROASTER CORP.,NULL,2901,EMMONS AVE,BROOKLYN,NY,11235,Enclosed,260,7,28,40366471,1001022,152133,315,48,http://www.nyc.gov/brooklyncb15,8073-2016-RSWC,Enclosed,260,7,28,Application Review Completed,31 May 2017,15 May 2018,,11 May 2016,Ready For Review,11 May 2016,Approved,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,Issued,11 May 2016
0699252-DCA,Active,NECTAR RESTAURANT CORP.,NULL,1090,MADISON AVE,NEW YORK,NY,10028,Enclosed,170,12,24,40388672,995069,222788,108,4,http://www.cb8m.com/,15394-2017-RSWC,Enclosed,170,12,24,Application Review Completed,05 Apr 2017,15 May 2018,,05 Apr 2017,Ready For Review,05 Apr 2017,Approved,,Proceed,05 Apr 2017,Review Period Expired,05 Apr 2017,Waived,05 Apr 2017,NULL,,Approved,05 Apr 2017,Approved,05 Apr 2017,Issued,05 Apr 2017
0761576-DCA,Active,FORTUNATO BROS.CAFE & BAKERY CORP,NULL,289,MANHATTAN AVE,BROOKLYN,NY,11211,Enclosed,422,14,46,40400561,999196,199324,301,34,http://www.nyc.gov/brooklyncb1,12224-2014-RSWC,Enclosed,422,14,46,Application Review Completed,19 Oct 2017,15 May 2018,,13 Sep 2017,Ready For Review,26 Jun 2014,Approved,20 Nov 2015,Proceed,23 Sep 2015,Review Period Expired,24 Sep 2015,Waived,19 Nov 2015,NULL,,Filed Recommendation,20 Nov 2015,NULL,,Issued,19 Oct 2017
0767745-DCA,Active,FOODS FOR JUNIORS INC,JUNIORS RESTAURANT,386,FLATBUSH AVENUE EXT,BROOKLYN,NY,11201,Enclosed,123,19,58,40364581,989299,190728,302,33,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,15594-2017-RSWC,Enclosed,123,19,58,Pending Review,28 Sep 2017,28 Mar 2018,28 Mar 2018,07 Apr 2017,Ready For Review,07 Apr 2017,Issued Temp Op Letter,11 Apr 2017,Proceed,06 Oct 2017,Recommend Approval,06 Oct 2017,Waived,06 Oct 2017,NULL,,Review Period Expired,27 Oct 2017,Pending Review,,Pending Review,
0769760-DCA,Active,FIRST 69TH ST. REALTY CORP.,WESTSIDE RESTAURANT E/S/C #417,2020,BROADWAY,NEW YORK,NY,10023,Enclosed,422,17,34,40386556,989256,222131,107,6,http://www.nyc.gov/mcb7,7768-2016-RSWC,Enclosed,422,17,34,Application Review Completed,01 Jun 2017,15 May 2018,,04 May 2016,Ready For Review,04 May 2016,Approved,,Proceed,04 May 2016,Review Period Expired,04 May 2016,Waived,04 May 2016,NULL,,Approved,04 May 2016,Approved,04 May 2016,Issued,04 May 2016
0769952-DCA,Active,"567 HUDSON STREET, INC.",WHITE HORSE TAVERN,567,HUDSON ST,NEW YORK,NY,10014,Unenclosed,728,24,72,40364958,982563,207304,102,3,http://www.nyc.gov/manhattancb2,27808-2015-RSWC,Unenclosed,728,24,72,Application Review Completed,10 Apr 2017,15 Dec 2017,,02 Nov 2015,Ready For Review,04 Nov 2015,Approved,06 Jan 2016,NULL,,Recommend Approval,21 Dec 2015,Waived,06 Jan 2016,NULL,,Approved,02 Feb 2016,Approved,02 Feb 2016,Issued,02 Feb 2016
